before	after	id
étendu	étendue	2
une	un	5
équation	équations	6
nombre	nombres	7
choisi	choisit	10
Un	Une	15
nombres	nombre	17
Une	Un	18
moyen	moyenne	28
moyenne	moyen	29
les	le	31
ses	ces	32
remportés	remporté	33
mort	morts	34
agi	agit	35
qui	et	36
agit	agi	38
Land	Länder	43
sièges	siège	44
siège	sièges	45
de	fr	46
age	âge	51
événement	évènement	52
évènement	événement	53
a	à	56
a	à	61
mai	mais	71
connait	connaît	72
signe	sigle	75
majeur	majeure	79
ai	a	82
maintient	maintien	83
fuit	fui	84
perse	persan	90
perse	persan	92
estimée	estimé	98
perse	persan	100
estimée	estimé	104
doit	soit	107
connaitre	connaître	112
comme	somme	116
munie	muni	118
une	un	122
un	une	123
connait	connaît	124
même	mêmes	125
connaît	connait	127
définie	définit	133
caractère	caractères	136
mineurs	mineures	138
un	une	141
inclus	inclut	143
il	ils	144
contrainte	contraintes	145
retrouve	retrouvent	151
terme	termes	153
retrouve	retrouvent	154
terme	termes	156
parties	partie	157
connu	connue	159
intégré	intégrée	161
subi	subit	162
fourni	fournit	165
disputé	disputée	166
apparait	apparaît	167
fut	est	170
dominants	dominant	172
pause	pose	173
permettra	permet	174
don	dont	176
département	départements	178
départements	département	179
rural	rurale	184
rurale	rural	185
rural	rurale	187
rurale	rural	188
Moulin	Moulins	189
rurale	rural	190
celui	celle	191
lié	liée	192
sont	est	195
nommé	nommée	196
mondial	mondiale	199
du	de	202
protestant	protestante	207
Il	Elle	211
situé	située	213
et	est	215
et	est	216
pus	plus	220
village	villages	221
la	le	222
bordée	bordé	228
constitués	constitué	229
plantés	plantées	232
connait	connaît	240
connait	connaît	242
connait	connaît	243
pus	plus	246
village	villages	247
plantés	plantées	248
connait	connaît	257
connait	connaît	258
aux	au	261
aires	zones	263
succédé	succédés	264
concentrée	concentré	265
succédé	succédés	266
succédés	succédé	268
ouest	est	272
appelé	appelée	273
succédé	succédés	281
eu	eut	284
succédés	succédé	285
Il	Elle	287
unis	unies	289
Est	Ouest	290
eu	eut	293
succédés	succédé	294
Il	Elle	296
unis	unies	298
Est	Ouest	299
une	ne	304
née	une	306
cultuelles	culturelles	308
cultuelles	culturelles	311
habitant	habitants	313
inspirée	inspiré	316
Il	Elle	320
Elle	Il	321
nait	naît	322
adaptée	adapté	323
cotés	côtés	325
La	Le	330
ancien	anciens	331
et	qui	334
entouré	entourée	336
soit	est	338
fermes	femmes	344
femmes	fermes	345
importantes	importante	347
accroit	accroît	349
événements	évènements	350
du	de	358
trouve	trouvent	359
fermes	femmes	363
femmes	fermes	364
accroit	accroît	366
événements	évènements	367
a	à	370
mouvement	mouvements	375
blancs	blanc	376
pur	pour	381
enseignée	enseigner	382
se	ce	385
standards	standard	387
ou	où	389
à	de	390
une	un	391
adapté	adaptée	393
eue	eu	396
a	ait	397
et	est	398
réussit	réussi	401
mouvement	mouvements	402
parlé	parler	404
du	de	408
le	la	409
couleur	couleurs	414
utilisé	utiliser	415
étudier	étudié	416
art	arts	417
ceci	cela	419
à	de	421
utilisé	utiliser	425
retrouve	retrouvent	427
voir	voire	429
transmit	transmis	432
autre	autres	437
maitrise	maîtrise	439
choisi	choisie	444
associé	associés	450
de	en	454
a	à	458
associé	associée	461
élèves	élève	464
ce	se	467
certain	certains	471
dont	donc	475
peu	peut	476
trouve	trouvent	490
portée	porté	491
pratiquant	pratiquants	492
réussit	réussi	494
mouvement	mouvements	495
parlé	parler	497
du	de	501
le	la	502
couleur	couleurs	507
étudier	étudié	508
art	arts	509
ceci	cela	510
à	de	512
utilisé	utiliser	516
retrouve	retrouvent	518
voir	voire	520
transmit	transmis	523
autre	autres	528
maitrise	maîtrise	530
choisi	choisie	533
associé	associés	539
ce	se	544
peu	peut	550
trouve	trouvent	564
portée	porté	565
pratiquant	pratiquants	566
un	une	569
grec	grecque	571
élément	éléments	572
forme	forment	573
connait	connaît	575
du	de	578
devenues	devenus	581
droit	droits	585
devient	deviendra	586
devient	deviendra	587
du	dû	590
elle	elles	596
chaines	chaînes	602
Henry	Henri	603
le	du	611
du	dû	612
envahi	envahie	615
qui	et	617
chaines	chaînes	626
qui	et	631
abris	abri	637
jour	jours	645
parti	partie	646
partie	parti	647
milliard	milliards	651
de	dans	653
faible	faibles	660
milliard	milliards	662
de	dans	664
faible	faibles	671
la	sa	680
a	la	682
rattaché	rattachée	684
dans	en	686
à	en	687
Case	Casa	690
discussion	discussions	693
ses	ces	704
permis	permit	711
ait	a	713
Fondé	Fondée	714
a	ait	715
une	la	716
ne	en	717
complet	complets	720
calculs	calcul	721
il	ils	725
crée	créer	731
suivie	suivi	736
coté	côté	739
crée	créé	742
sont	son	743
crée	créée	747
nouvelle	nouvelles	748
heure	heures	749
aux	au	750
record	records	751
au	aux	752
Évènement	Événement	753
tache	tâche	757
appareils	appareil	758
ou	où	759
utilisés	utilisé	760
affaire	affaires	762
boitier	boîtier	763
cent	cents	764
Il	Ils	765
ordinateur	ordinateurs	766
sommet	sommets	767
été	était	772
coté	côté	773
a	à	776
tout	tous	777
le	les	778
ait	eut	779
dollar	dollars	780
ventes	vente	781
publique	public	784
seront	sont	786
diffusé	diffusés	787
aout	août	789
bas	haut	791
Événement	Évènement	798
événement	évènement	799
une	un	802
électronique	électroniques	807
améliorer	amélioré	808
premier	première	809
meilleur	meilleure	811
particuliers	particulier	815
inclus	inclut	816
début	départ	817
vu	vus	820
importante	importantes	821
prouvé	prouvée	823
grand	grands	824
la	l	826
l	la	827
physique	physiques	828
obtenue	obtenu	832
popularisé	popularisée	834
astronomique	astronomiques	835
début	débuts	836
astronomie	astronomies	837
astronomies	astronomie	838
débuts	début	839
de	du	840
la	les	841
les	la	842
fut	est	843
vue	vu	846
Age	Âge	849
les	des	851
age	âge	852
critiqué	critique	858
critique	critiqué	859
critiqué	critique	860
a	à	861
remplacées	remplacés	867
prononcer	prononcé	873
tout	tous	875
reprise	repris	879
un	une	881
écrivain	écrivaine	882
des	de	885
social	sociale	886
fut	est	887
des	de	890
éclat	éclats	891
a	à	892
martyr	martyre	893
complète	complètes	897
des	ses	904
St	Saint	905
renforcé	renforcée	906
utilisé	utilisée	911
utilisée	utilisé	912
utilisé	utilisée	913
supérieures	supérieure	915
pu	put	916
liée	lié	920
a	à	921
financement	financements	923
artiste	artistes	924
fut	est	939
passa	passe	940
leur	le	942
des	de	952
a	à	960
de	le	963
toute	toutes	970
ligne	lignes	972
indigènes	indigène	977
montagne	montagnes	981
parti	partie	982
le	les	983
descend	descendent	985
considéré	considérée	986
des	de	987
chute	chutes	989
est	sont	994
inchangés	inchangées	995
vrai	vraie	996
modification	modifications	1000
la	le	1007
élu	élue	1009
à	de	1010
des	leurs	1011
Nicholas	Nicolas	1012
le	la	1013
à	de	1015
eu	eut	1021
connus	connu	1022
disquettes	disquette	1024
voix	voies	1027
Mio	Mo	1029
déclaré	déclarer	1035
commence	commencent	1046
commencent	commence	1047
est	a	1048
commencée	commencé	1049
de	du	1050
vidéos	vidéo	1052
boitier	boîtier	1055
sortit	sorti	1057
boitier	boîtier	1058
sorti	sortit	1059
défini	définit	1062
a	à	1068
prononcer	prononcé	1076
compose	composent	1077
la	le	1078
la	le	1079
quitté	quitter	1080
représente	représenté	1086
non	nom	1091
trouvée	trouvé	1092
armes	arme	1094
consacré	consacrée	1096
écarté	écartée	1110
déclarer	déclaré	1112
combatifs	combattifs	1113
combattifs	combatifs	1115
combatifs	combattifs	1116
combattifs	combatifs	1118
à	a	1122
Maitre	Maître	1128
Ses	Ces	1131
par	pour	1135
pour	par	1139
de	du	1140
commun	communs	1141
vidéos	vidéo	1142
maintient	maintien	1143
civils	civiles	1145
