before	after	id
lesquel	lesquels	3
ordoné	ordonné	6
étendu	étendue	7
matrrices	matrices	8
transformation	transformations	9
une	un	10
équation	équations	11
nombre	nombres	13
Algebre	Algèbre	23
lineaire	linéaire	26
choisi	choisit	42
algotithmes	algorithmes	44
adjectf	adjectif	45
éégalement	également	46
donts	dont	48
Un	Une	55
matématicien	mathématicien	56
nombres	nombre	57
Une	Un	58
entrevroir	entrevoir	60
of	de	61
donnera	donne	62
algoritme	algorithme	68
éxécutent	exécutent	71
réfèrera	référera	73
privégéliera	privilégiera	75
compléxité	complexité	76
car	cas	82
moyen	moyenne	83
moyenne	moyen	84
républque	république	85
les	le	89
45 %	45 %	93
78	75	96
règle	tutelle du	98
1er	*1er	106
agi	agit	107
truand	catholique	113
indépendence	indépendance	114
Pacques	Paques	120
l' Ireland Act	le traité de Londres	122
insurection	insurrection	123
a annoncé	annonce	127
Hongrie	Hie	134
FPOe	FPÖ	146
sièges	siège	147
siège	sièges	148
24 novembre 2002	1er Octobre 2006	157
Etat	État	158
étangères	étrangères	159
octobre	septembre	164
chomâge	chômage	165
Autriche	occupèrent	170
psh ! ! ar	par	173
évènement	événement	174
férré	ferré	175
Etat	État	176
Slazach	Salzach	180
capitele	capitale	181
espérence	espérance	182
riviéres	rivières	183
vallés	vallées	184
a	à	185
concentré	concentre	186
Inspiré	copié	189
