before	after	comments
Il a formé toute une génération de linguistes français , parmi lesquel Emile Benveniste , Marcel Cohen , Georges Dumézil , André Martinet , Aurélien Sauvageot , Lucien Tesnière , Joseph Vendryes .	Il a formé toute une génération de linguistes français , parmi lesquels Emile Benveniste , Marcel Cohen , Georges Dumézil , André Martinet , Aurélien Sauvageot , Lucien Tesnière , Joseph Vendryes .	nettoyage , Typos fixed : lesquel → lesquels , AWB
On peut alors décider le PNB des 8 pays à une date donnée ou l' ordre des pays est ordoné .	On peut alors décider le PNB des 8 pays à une date donnée ou l' ordre des pays est ordonné .	Présentation élémentaire
L' algèbre linéaire moderne a été étendu pour considérer les espaces de dimension arbitraire ou infini .	L' algèbre linéaire moderne a été étendue pour considérer les espaces de dimension arbitraire ou infini .	Présentation élémentaire
Un théorème intéressant à l' époque des mémoires d' ordinateurs de petite taille était qu ' on pouvait travailler séparément sur des sous-ensembles (" blocs " ) d' une matrice en les combinant ensuite par les mêmes règles qu ' on utilise pour combiner des scalaires dans le matrrices .	Un théorème intéressant à l' époque des mémoires d' ordinateurs de petite taille était qu ' on pouvait travailler séparément sur des sous-ensembles (" blocs " ) d' une matrice en les combinant ensuite par les mêmes règles qu ' on utilise pour combiner des scalaires dans le matrices .	Quelques théorèmes
On nomme algèbre linéaire la branche des mathématiques qui s' occupe de l' étude des vecteurs ( ensembles ordonnés de scalaires ) , des espaces vectoriels ( ou espaces linéaires ) , des transformation linéaires et des systèmes d' équation linéaires ( théorie des matrices ) .	On nomme algèbre linéaire la branche des mathématiques qui s' occupe de l' étude des vecteurs ( ensembles ordonnés de scalaires ) , des espaces vectoriels ( ou espaces linéaires ) , des transformations linéaires et des systèmes d' équation linéaires ( théorie des matrices ) .	typo + lien + modif
Un vecteur , ici , est une segment de droite caractérisé à la fois par sa longeur ( ou magnitude ) et sa direction .	Un vecteur , ici , est un segment de droite caractérisé à la fois par sa longeur ( ou magnitude ) et sa direction .	typo + lien + modif
On nomme algèbre linéaire la branche des mathématiques qui s' occupe de l' étude des vecteurs ( ensembles ordonnés de scalaires ) , des espaces vectoriels ( ou espaces linéaires ) , des transformations linéaires et des systèmes d' équation linéaires ( théorie des matrices ) .	On nomme algèbre linéaire la branche des mathématiques qui s' occupe de l' étude des vecteurs ( ensembles ordonnés de scalaires ) , des espaces vectoriels ( ou espaces linéaires ) , des transformations linéaires et des systèmes d' équations linéaires ( théorie des matrices ) .	ortho
On nomme Algebre lineaire la branche des mathématiques qui se penche sur l' étude des espaces vectoriels ( ou espaces linéaires ) , de leurs éléments les vecteurs , des transformations linéaires et des systèmes d' équations linéaires ( théorie des matrices ) .	On nomme Algèbre lineaire la branche des mathématiques qui se penche sur l' étude des espaces vectoriels ( ou espaces linéaires ) , de leurs éléments les vecteurs , des transformations linéaires et des systèmes d' équations linéaires ( théorie des matrices ) .	Définition
Lalgèbre lineaire est la branche des mathématiques qui s' intéresse à l' étude des espaces vectoriels ( ou espaces linéaires ) , de leurs éléments les vecteurs , des transformations linéaires et des systèmes d' équations linéaires ( théorie des matrices ) .	Lalgèbre linéaire est la branche des mathématiques qui s' intéresse à l' étude des espaces vectoriels ( ou espaces linéaires ) , de leurs éléments les vecteurs , des transformations linéaires et des systèmes d' équations linéaires ( théorie des matrices ) .	
Ainsi , le Quicksort ( ou tri rapide ) , lorsque l' on choisi le premier élément comme pivot , se comporte de façon désastreuse si on l' applique à une liste de valeur .	Ainsi , le Quicksort ( ou tri rapide ) , lorsque l' on choisit le premier élément comme pivot , se comporte de façon désastreuse si on l' applique à une liste de valeur .	Quelques indications sur l' efficacité des algorithmes
Le substantif algorithmique désigne la méthode utilisant des algotithmes .	Le substantif algorithmique désigne la méthode utilisant des algorithmes .	Etude systématique
Le terme est éégalement employé comme adjectf .	Le terme est éégalement employé comme adjectif .	Etude systématique
Le terme est éégalement employé comme adjectif .	Le terme est également employé comme adjectif .	Etude systématique
Les algorithmes donts on a retrouvé des descriptions exhaustives ont été utilisés dès l' époque des Babyloniens , pour des calculs concernant le commerce et les impôts .	Les algorithmes dont on a retrouvé des descriptions exhaustives ont été utilisés dès l' époque des Babyloniens , pour des calculs concernant le commerce et les impôts .	Antiquité Ortographe
Le mot vient du nom du matématicien perse Abou Jafar Muhammad Ibn Mūsa al-Khuwārizmī ( en arabe :	Le mot vient du nom du mathématicien perse Abou Jafar Muhammad Ibn Mūsa al-Khuwārizmī ( en arabe :	
Au dix-septième siècle , on pourrait entrevroir une certaine allusion à la méthode algorithmique chez René Descartes dans la méthode générale proposée par le Discours de la méthode ( 1637 ) , notamment quand , en sa deuxième partie , le logicien français propose de :	Au dix-septième siècle , on pourrait entrevoir une certaine allusion à la méthode algorithmique chez René Descartes dans la méthode générale proposée par le Discours de la méthode ( 1637 ) , notamment quand , en sa deuxième partie , le logicien français propose de :	Etude systématique
Le savant arabophone andalou Averroès ( 1126 -1198 ) évoque une méthode de raisonnement où la thèse s' affine étape par étape ( itérativement ) jusqu ' à une certaine convergence , et ceci conformément au déroulement d' un algorithme .	Le savant arabophone andalou Averroès ( 1126 -1198 ) évoque une méthode de raisonnement où la thèse s' affine étape par étape ( itérativement ) jusqu ' à une certaine convergence et ceci conformément au déroulement d' un algorithme .	relecture syntaxe et orthographe
Si les tâches s' exécutent sur un réseau de processeurs on parle d' algoritme distribué .	Si les tâches s' exécutent sur un réseau de processeurs on parle d' algorithme distribué .	coquille
Si les opérations s' éxécutent sur plusieurs processeurs en parallèle , on parle d' algorithme parallèle .	Si les opérations s' exécutent sur plusieurs processeurs en parallèle , on parle d' algorithme parallèle .	Définition
On se réfèrera aux articles suivants pour de plus amples détails :	On se référera aux articles suivants pour de plus amples détails :	Exemples d' algorithme
algorithme de tri , le nombre de lignes à trier ) , que l' on privégéliera sur le coût exact en secondes , ensuite l' appréciation de la quantité de mémoire nécessaire pour effectuer les calculs .	algorithme de tri , le nombre de lignes à trier ) , que l' on privilégiera sur le coût exact en secondes , ensuite l' appréciation de la quantité de mémoire nécessaire pour effectuer les calculs .	
Bien sûr , on n' utilise la notion de compléxité amortie que dans les cas où cette réaction est très marginale .	Bien sûr , on n' utilise la notion de complexité amortie que dans les cas où cette réaction est très marginale .	
Cela signifie que , pour certaines exécutions de l' algorithme ( car marginaux ) , la complexité de l' algorithme sera très supérieure au cas moyen .	Cela signifie que , pour certaines exécutions de l' algorithme ( cas marginaux ) , la complexité de l' algorithme sera très supérieure au cas moyen .	
L' Argentine est une
